word,frequency,topic_id
watching,107,4
sense,107,4
bullying,107,4
almost,107,4
called,106,4
common,105,4
sign,105,4
sister,105,4
control,105,4
joy,105,4
left,105,4
rule,105,4
written,105,4
small,105,4
sex,104,4
report,103,4
sweet,103,4
screen,103,4
seems,103,4
lost,103,4
war,102,4
costume,102,4
growing,102,4
wonder,102,4
sound,101,4
hilarious,101,4
line,101,4
reality,101,4
according,101,4
education,101,4
internet,101,4
happened,100,4
plan,100,4
infant,100,4
star,99,4
else,99,4
gun,99,4
opportunity,99,4
probably,98,4
stress,98,4
along,98,4
fall,98,4
stand,98,4
likely,98,4
taught,98,4
class,97,4
saying,97,4
generation,97,4
dream,97,4
ready,97,4
offer,97,4
helping,97,4
playing,96,4
sport,96,4
behind,96,4
activity,96,4
side,96,4
eating,96,4
case,95,4
present,95,4
move,95,4
bed,95,4
hold,95,4
sibling,95,4
however,95,4
value,95,4
hair,95,4
attention,95,4
bit,94,4
act,94,4
struggle,93,4
adoption,93,4
viral,93,4
brain,93,4
loss,92,4
course,92,4
anxiety,91,4
america,91,4
dance,91,4
light,91,4
pain,91,4
huffpost,91,4
worry,91,4
possible,91,4
trip,91,4
given,91,4
skill,90,4
seem,90,4
deal,90,4
song,90,4
awesome,90,4
number,90,4
ok,89,4
miss,89,4
forget,88,4
gave,88,4
save,88,4
country,88,4
normal,87,4
turned,87,4
please,87,4
needed,87,4
practice,87,4
changed,86,4
finding,86,4
author,86,4
death,86,4
became,86,4
bring,86,4
percent,86,4
longer,86,4
mama,85,4
culture,85,4
celebrate,85,4
meet,85,4
cause,85,4
ad,85,4
daily,85,4
blog,85,4
cost,84,4
hate,84,4
chance,84,4
national,84,4
teenager,84,4
princess,84,4
million,84,4
personal,84,4
diaper,83,4
using,83,4
inside,83,4
fight,83,4
syndrome,83,4
loved,83,4
soon,83,4
lunch,83,4
simply,83,4
success,83,4
funny,82,4
choose,82,4
card,82,4
realize,82,4
community,82,4
guide,82,4
responsibility,82,4
happens,82,4
camp,82,4
safety,81,4
begin,81,4
among,81,4
lead,81,4
run,81,4
worth,80,4
memory,80,4
recently,80,4
quite,80,4
send,80,4
photo,5301,5
style,2268,5
fashion,2178,5
look,1895,5
week,1505,5
new,1421,5
check,1250,5
dress,1174,5
want,1141,5
beauty,966,5
sure,954,5
hair,928,5
u,886,5
like,861,5
twitter,861,5
day,843,5
one,835,5
get,802,5
video,796,5
facebook,780,5
pinterest,744,5
huffpost,741,5
best,723,5
see,711,5
model,704,5
show,691,5
tumblr,689,5
wear,662,5
kate,650,5
woman,611,5
year,609,5
make,607,5
time,606,5
red,580,5
star,575,5
love,545,5
way,533,5
york,515,5
instagram,514,5
makeup,498,5
first,485,5
designer,474,5
take,471,5
girl,468,5
